sentiment,text
joy,on days when i feel close to my partner and other friends  when i feel at peace with myself and also experience a close  contact with people whom i regard greatly
fear,every time i imagine that someone i love or i could contact a  serious illness even death
anger,when i had been obviously unjustly treated and had no possibility  of elucidating this
sadness,when i think about the short time that we live and relate it to  the periods of my life when i think that i did not use this  short time
disgust,at a gathering i found myself involuntarily sitting next to two  people who expressed opinions that i considered very low and  discriminating
shame,when i realized that i was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings
guilt,i feel guilty when when i realize that i consider material things  more important than caring for my relatives i feel very  selfcentered
joy,after my girlfriend had taken her exam we went to her parents  place
fear,when for the first time i realized the meaning of death
anger,when a car is overtaking another and i am forced to drive off the  road
sadness,when i recently thought about the hard work it takes to study and  how one wants to try something else when i read a theoretical  book in english that i did not understand
disgust,when i found a bristle in the liver paste tube
shame,when i was tired and unmotivated i shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important
guilt,when i think that i do not study enough after the weekend i  think that i should have been able to have accomplished  something during that time
joy,when i pass an examination which i did not think i did well
fear,when one has arranged to meet someone and that person arrives  late in the meantime one starts thinking about all that could  have gone wrong eg a traffic accident
anger,when one is unjustly accused of something one has not done
sadness,when ones studies seem hopelessly difficult and uninteresting
disgust,when one finds out that someone you know is not at all like one  had thought for instance friends who steal and things like that  quite unwarranted
shame,when one has been unjust stupid towards someone else
guilt,when one has neglected or been unjust to a good friend
joy,passing an exam i did not expect to pass
fear,when i climbed up a tree to pick apples the angle of the ladder  i was on did not enable me to get high enough this implied  that the ladder was not very stable
anger,friends who torture animals
sadness,same as in anger
disgust,friends who torture animals
shame,same as above friends who torture animals
guilt,when excuses are necessary and i get out of doing it myself
joy,when i had my children
fear,when my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out he was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down
anger,when my partner was attacked and lost three teeth
sadness,when i see children on tv from areas devastated by drought and  war
disgust,when i nearly walked on a blindworm and then saw it crawl away
shame,when i saw my 18 year old son grab an oxygen mask as he had  breathing difficulties i had a bad conscience because i had not  stopped smoking medication for the dilation of his breathing  tubes also caused a sense of guilt in me
guilt,i experience a sense of guilt as my middle son cannot express  himself like other children neither verbally nor in writing
joy,when my child was born
fear,it was winterspring and the ice was melting i was far out on a  jetty and i poked the ice with a long branch to try and break it  the branch went through the ice and i fell in the water closed  in over my head
anger,unjust accusations directed at me and my way of acting by  someone close to me
sadness,failing an examination
disgust,a drunkard fell started bleeding and wet himself disgust that  turned into sadnessunpleasantness
shame,when as an adult i have been caught lying or behaving badly
guilt,when i am in an environment or with a person much worse off than  me i realize how privileged i am
joy,when i saw a person i had not seen for a long time
fear,when as a child i was nearly knocked down by a car
anger,when i heard on the radio that the football match in belgium had  ended in a catastrophe and several people had died i could not  understand how normal people could behave in such a way
sadness,when i feel lonely perhaps because i have to study a lot and i  am shut up in my appartment nothing happens in particular  because there is no time for anything else
disgust,when one learns through the mass media all the wars and killing  going on in the world
shame,i lied to be precise i cancelled a meeting with a good friend
guilt,when one lets friends down
joy,when i was accepted for a course on finance and accounting
fear,a bus drove over my right leg the event itself was not very  frightening but when i had to wait in the emergency ward for  three hours and then my leg began to swell i was frightened
anger,at my summer job nobody looked after me in particular and i had  to learn all on my own
sadness,when i was not accepted as a student in finance and accounting
disgust,when i had just moved into my new appartment i found a ventilator  in the kitchen i was going to clean it when i found that the  drum was full of mud and slime i felt disgusted
shame,my elder brother and i have not always had a good relationship  and i feel ashamed of myself as i do not call him to talk to him  nowadays
guilt,at my summer job a new caretaker had been employed who was my age  but i preferred going out for lunch with the accounts personnel  rather than with him
joy,passed an exam by 2 points
fear,in a cottage in a large forest i was alone for a while in the  dark
anger,when i spoke to janerik wikstrm on the telephone
sadness,railway station goodbye
disgust,i saw a cripple in rags with small children in italy he was  probably an imposter
shame,i told a friend that i was going to a party and he would not  enjoy himself if he came along he understood that he would not  have fitted in and there was something in that
guilt,i was the reason behind the breakup of my friends relationship  with his girlfriend she finished with him
joy,i passed an exam that i was absolutely certain that i had failed
fear,on the way back from denmark with a friend on a small yatch  there was a storm and my friend was blown overboard i was very  scared till i managed to get him back onboard
anger,i locked myself out
sadness,i missed the last tram home and had to walk in the pouring rain
disgust,i found some worms in the food and i had obviously eaten some
shame,my friend was so intoxicated that the police came and took him  away and they later contacted his parents
guilt,i hapened to overhear something which i was not meant to hear
joy,when i won a trip to greece in a competition
fear,when i am out in the dark and a suspicious looking character  comes towards me
anger,at work when an elderly man complained unjustifiably about me and  distrusted me
sadness,when i had not understood anything after a lecture
disgust,when an alcoholic stood dribbling over a food counter
shame,when my friend and i were discussing the good looks of a guy we  realized that he had been listening
guilt,when i complained about a colleague to the manager and he told  her that someone had complained this colleague came to me  believing that i liked her
joy,at a friends birthday party with some of my closest friends it  was all very pleasant and one could say that i was happy to have  such good friends
fear,on the way home one friday night in the heavy rain the car  acquaplanned i lost contact with the road surface for a few  seconds
anger,mad at my dad
sadness,a case of unrequited love
disgust,a bad smelling cucumber
shame,nearly caught masturbating
guilt,i do not help out enough at home
joy,i felt very happy when i won the football pools
fear,when i flew from athens to copenhagen after a holiday the plane  was caught in a storm and it began to shake and i thouhght that  we were going to crash
anger,when someone stole my bike
sadness,when i saw the list of books to read for an acccouting course i  thought oh god how will i ever manaage it
disgust,it was when i read a newspaper article on the future and they  foresaw that we would be eating frogburgers by the year 2000  an illustration showed a frog between two pieces of bread
shame,when i dropped a bottle in the state liquor store and everyboby  started laughing
guilt,when i was young 14 i pinched from a store and was caught  the store then contacted my parents
joy,when the whole family gets together for a one week holiday  everybody feels free and the trip is well planned it works out  well and we enjoy ourselves
fear,when i could not find my 2 year old daughter i ran and looked  for her everywhere and could not find her i finally found her  she had gone to bed to sleep
anger,when friends try to put me down or hurt me
sadness,marriage crises boredom
